symbol,entry_ms,exit_ms,direction,entry_z,entry_price,exit_price,gross_ret,gross_pnl_usd,fee_usd,pnl_usd
ADAUSDT,1708009200000,1708027200000,-1,-1.30414764,0.59970000,0.59860000,0.0018342505,18.3425,24.0000,-5.6575
ADAUSDT,1708030800000,1708048800000,-1,-1.29731047,0.59130000,0.60460000,-0.0224928124,-224.9281,24.0000,-248.9281
ADAUSDT,1708088400000,1708106400000,-1,-1.24419026,0.60570000,0.59190000,0.0227835562,227.8356,24.0000,203.8356
ADAUSDT,1708164000000,1708182000000,-1,-1.37658667,0.58450000,0.57860000,0.0100940975,100.9410,24.0000,76.9410
ADAUSDT,1708200000000,1708218000000,-1,-1.67504083,0.59910000,0.61240000,-0.0221999666,-221.9997,24.0000,-245.9997
ADAUSDT,1708221600000,1708239600000,-1,-1.28162296,0.61790000,0.62430000,-0.0103576631,-103.5766,24.0000,-127.5766
ADAUSDT,1708239600000,1708257600000,-1,-1.22124867,0.62430000,0.62850000,-0.0067275348,-67.2753,24.0000,-91.2753
ADAUSDT,1708257600000,1708275600000,-1,-1.00895005,0.62850000,0.61770000,0.0171837709,171.8377,24.0000,147.8377
ADAUSDT,1708329600000,1708347600000,-1,-1.21268618,0.62930000,0.62190000,0.0117590974,117.5910,24.0000,93.5910
ADAUSDT,1708347600000,1708365600000,-1,-1.13055424,0.62190000,0.62280000,-0.0014471780,-14.4718,24.0000,-38.4718
ADAUSDT,1708376400000,1708394400000,-1,-1.45259246,0.63300000,0.63240000,0.0009478673,9.4787,24.0000,-14.5213
ADAUSDT,1708423200000,1708441200000,-1,-1.13744175,0.63180000,0.60950000,0.0352959797,352.9598,24.0000,328.9598
ADAUSDT,1708462800000,1708480800000,-1,-1.08585762,0.62600000,0.60910000,0.0269968051,269.9681,24.0000,245.9681
ADAUSDT,1708498800000,1708516800000,-1,-1.03818664,0.59460000,0.59150000,0.0052135890,52.1359,24.0000,28.1359
ADAUSDT,1708581600000,1708599600000,-1,-1.06702715,0.60200000,0.59950000,0.0041528239,41.5282,24.0000,17.5282
ADAUSDT,1708956000000,1708974000000,-1,-1.07439702,0.59320000,0.61770000,-0.0413014160,-413.0142,24.0000,-437.0142
ADAUSDT,1709056800000,1709074800000,-1,-1.05351840,0.62140000,0.62390000,-0.0040231735,-40.2317,24.0000,-64.2317
ADAUSDT,1709103600000,1709121600000,-1,-1.17165491,0.62800000,0.62850000,-0.0007961783,-7.9618,24.0000,-31.9618
ADAUSDT,1709125200000,1709143200000,-1,-1.05076291,0.63520000,0.61890000,0.0256612091,256.6121,24.0000,232.6121
ADAUSDT,1709164800000,1709182800000,-1,-1.02702982,0.63740000,0.66650000,-0.0456542203,-456.5422,24.0000,-480.5422
ADAUSDT,1709182800000,1709200800000,-1,-1.01081044,0.66650000,0.70150000,-0.0525131283,-525.1313,24.0000,-549.1313
ADAUSDT,1709301600000,1709319600000,-1,-1.09117881,0.68780000,0.69100000,-0.0046525153,-46.5252,24.0000,-70.5252
ADAUSDT,1709334000000,1709352000000,-1,-1.39520836,0.71950000,0.75450000,-0.0486448923,-486.4489,24.0000,-510.4489
ADAUSDT,1709452800000,1709470800000,-1,-1.12972716,0.72690000,0.72900000,-0.0028889806,-28.8898,24.0000,-52.8898
ADAUSDT,1709532000000,1709550000000,-1,-1.07277115,0.79250000,0.78370000,0.0111041009,111.0410,24.0000,87.0410
ADAUSDT,1709701200000,1709719200000,-1,-1.07076172,0.72260000,0.72750000,-0.0067810684,-67.8107,24.0000,-91.8107
ADAUSDT,1717754400000,1717772400000,-1,-1.10273265,0.47870000,0.47880000,-0.0002088991,-2.0890,24.0000,-26.0890
ADAUSDT,1718888400000,1718906400000,1,1.01567697,0.38680000,0.38760000,0.0020682523,20.6825,24.0000,-3.3175
ADAUSDT,1720263600000,1720281600000,1,1.10780902,0.35780000,0.36770000,0.0276690889,276.6909,24.0000,252.6909
ADAUSDT,1720285200000,1720303200000,1,1.09006875,0.36940000,0.37260000,0.0086626963,86.6270,24.0000,62.6270
ADAUSDT,1720306800000,1720324800000,1,1.25671140,0.37070000,0.36610000,-0.0124089560,-124.0896,24.0000,-148.0896
ADAUSDT,1720335600000,1720353600000,1,1.24476493,0.36500000,0.36490000,-0.0002739726,-2.7397,24.0000,-26.7397
ADAUSDT,1720357200000,1720375200000,1,1.45422769,0.35630000,0.35920000,0.0081392085,81.3921,24.0000,57.3921
ADAUSDT,1720386000000,1720404000000,1,1.24081031,0.35220000,0.34450000,-0.0218625781,-218.6258,24.0000,-242.6258
ADAUSDT,1721026800000,1721044800000,1,1.26784295,0.43800000,0.43870000,0.0015981735,15.9817,24.0000,-8.0183
ADAUSDT,1721048400000,1721066400000,1,1.15350507,0.43840000,0.43780000,-0.0013686131,-13.6861,24.0000,-37.6861
ADAUSDT,1721070000000,1721088000000,1,1.24490305,0.43520000,0.44300000,0.0179227941,179.2279,24.0000,155.2279
ADAUSDT,1723741200000,1723759200000,1,1.10485622,0.33010000,0.32540000,-0.0142381097,-142.3811,24.0000,-166.3811
ADAUSDT,1723806000000,1723824000000,1,1.03207392,0.33420000,0.32870000,-0.0164572113,-164.5721,24.0000,-188.5721
ADAUSDT,1724954400000,1724972400000,1,1.04086650,0.35100000,0.35780000,0.0193732194,193.7322,24.0000,169.7322
ADAUSDT,1729076400000,1729094400000,-1,-1.02714598,0.35910000,0.35480000,0.0119743804,119.7438,24.0000,95.7438
ADAUSDT,1729126800000,1729144800000,-1,-1.02409422,0.35500000,0.35010000,0.0138028169,138.0282,24.0000,114.0282
ADAUSDT,1729890000000,1729908000000,-1,-1.07532450,0.34360000,0.33050000,0.0381257276,381.2573,24.0000,357.2573
